Leaf name,Leaf Link,Chunk Status,Embedding Status,Num Chunks,Timestamp
Amazon Athena,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/amazon-athena,YES,YES,5,2025-01-07 13:59:21
Microsoft Azure - MySQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/microsoft-azure-mysql,YES,YES,5,2025-01-07 13:59:33
Microsoft Azure - PostgreSQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/microsoft-azure-postgresql,YES,YES,5,2025-01-07 13:59:44
Microsoft Azure - Maria DB,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/microsoft-azure-mariadb,YES,YES,5,2025-01-07 14:09:56
Microsoft Azure - SQL Database,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/microsoft-azure-sql-database,YES,YES,5,2025-01-07 14:10:08
Microsoft Azure - SQL Data Warehouse,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/microsoft-azure-sql-data-warehouse,YES,YES,5,2025-01-07 14:10:21
Google BigQuery,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/google-bigquery,YES,YES,11,2025-01-07 14:10:33
Google Cloud SQL - MySQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/google-cloudsql-mysql,YES,YES,12,2025-01-07 14:10:45
Google Cloud SQL - PostgreSQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/google-cloud-sql-postgresql,YES,YES,12,2025-01-07 14:10:58
Snowflake,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/snowflake,YES,YES,12,2025-01-07 14:21:11
IBM Cloud,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/ibm-cloud,YES,YES,4,2025-01-07 14:21:27
Heroku PostgreSQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/heroku-postgresql,YES,YES,10,2025-01-07 14:21:39
Panoply,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/panoply,YES,YES,10,2025-01-07 14:21:52
Yellowbrick,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/yellowbrick,YES,YES,10,2025-01-07 14:22:04
Singlestore,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/import-data-from-singlestore,YES,YES,7,2025-01-07 14:22:17
MongoDB Atlas,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/mongodb-atlas,YES,YES,7,2025-01-07 14:32:29
DigitalOcean - PostgreSQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/digitalocean-postgresql,YES,YES,16,2025-01-07 14:32:42
DigitalOcean - MySQL,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/digitalocean-mysql,YES,YES,16,2025-01-07 14:32:56
Analyze data stored in DigitalOcean MongoDB,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/digitalocean-mongodb,YES,YES,7,2025-01-07 14:33:13
Other Cloud Databases,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/other-cloud-databases,YES,YES,10,2025-01-07 14:43:25
Zoho Analytics IP Addresses,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/cloud-databases/articles/zoho-analytics-ip-addresses,YES,YES,2,2025-01-07 14:43:38
Importing Data from Local Databases,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/from-local-databases,YES,YES,2,2025-01-07 14:43:48
Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/zoho-databridge,YES,YES,7,2025-01-07 14:43:59
Importing from MySQL using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/mysql-3-3-2021-1,YES,YES,8,2025-01-07 14:44:12
Importing from SQL Server using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/sql-server-3-3-2021,YES,YES,8,2025-01-07 14:44:24
Importing from Oracle using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/oracle-3-3-2021,YES,YES,7,2025-01-07 14:44:36
Importing from PostgreSQL using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/postgresql-3-3-2021,YES,YES,8,2025-01-07 14:44:48
Importing from Maria DB using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/maria-db-3-3-2021,YES,YES,7,2025-01-07 14:55:00
Importing from Pervasive SQL using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/pervasive-sql,YES,YES,6,2025-01-07 14:55:12
Importing from Sybase using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/sybase,YES,YES,6,2025-01-07 14:55:24
Importing from DB2 using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/db2,YES,YES,6,2025-01-07 14:55:36
Importing from Exasol using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/exasol,YES,YES,6,2025-01-07 14:55:48
Importing from Vertica using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/vertica,YES,YES,13,2025-01-07 14:55:59
Importing from SQLite using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/sqlite,YES,YES,6,2025-01-07 14:56:12
Importing from Actian Vector using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/actian-vector,YES,YES,6,2025-01-07 15:06:24
Importing from Greenplum using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/greenplum,YES,YES,13,2025-01-07 15:06:36
Importing from Denodo using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/denodo,YES,YES,6,2025-01-07 15:06:49
Importing from Progress OpenEdge using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/progress-openedge,YES,YES,7,2025-01-07 15:07:04
Importing from Hive using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/hive,YES,YES,6,2025-01-07 15:07:16
Importing from Firebird using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/firebird,YES,YES,6,2025-01-07 15:07:28
Importing from YugabyteDB using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/yugabytedb,YES,YES,14,2025-01-07 15:07:40
Importing from MS Access using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/ms-access,YES,YES,6,2025-01-07 15:17:56
Importing from SAP HANA using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/sap-hana,YES,YES,13,2025-01-07 15:18:08
Importing from H2 using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/importing-from-h2-using-zoho-databridge,YES,YES,7,2025-01-07 15:18:21
Importing from CUBRID using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/importing-from-cubrid,YES,YES,7,2025-01-07 15:18:33
Importing from HyperSQL using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/importing-from-hypersql,YES,YES,7,2025-01-07 15:18:45
Importing from Apache Derby using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/importing-from-apache-derby,YES,YES,7,2025-01-07 15:28:57
Import data from InterSystems Cache,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/import-data-from-intersystems-cache,YES,YES,7,2025-01-07 15:29:10
Import Data from Claris FileMaker,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/import-data-from-claris-filemaker,YES,YES,7,2025-01-07 15:29:21
Import Data from Actian Ingres,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/import-data-from-actian-ingres,YES,YES,7,2025-01-07 15:29:34
Import Data from Informix,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/importing-from-ibm-informix,YES,YES,7,2025-01-07 15:29:46
Importing from Teradata using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/importing-from-teradata-using-zoho-databridge,YES,YES,8,2025-01-07 15:29:58
Importing from JDBC Driver Supported Databases using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/jdbc-driver-supported-databases,YES,YES,7,2025-01-07 15:30:10
Importing from ODBC Driver Supported Databases using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/relational-databases/articles/importing-from-odbc-driver-supported-databases-using-zoho-databridge,YES,YES,7,2025-01-07 15:40:22
Importing from MongoDB using Zoho Databridge,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/nosql-databases/articles/importing-from-mongodb-using-zoho-databridge,YES,YES,7,2025-01-07 15:40:34
Azure Data Lake,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/data-lakes/articles/azure-data-lake,YES,YES,6,2025-01-07 15:40:46
Importing Data from Zoho Analytics Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/import-from-zoho-analytics-workspace/articles/importing-data-from-zoho-analytics-workspace,YES,YES,4,2025-01-07 15:40:58
Enter Data Right Away,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/enter-data-right-away/articles/enter-data-right-away,YES,YES,2,2025-01-07 15:41:10
Elasticsearch,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/elasticsearch/articles/elasticsearch,YES,YES,6,2025-01-07 15:41:21
Incremental Fetch,https://help.zoho.com/portal/en/kb/analytics/user-guide/import-connect-to-data/incremental-fetch/articles/incremental-fetch,YES,YES,2,2025-01-07 15:41:33
Business Apps Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/business-apps-analytics/articles/business-app,YES,YES,1,2025-01-07 15:41:43
Integrating Zoho Apps with Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/zoho-apps-analytics/articles/impo,YES,YES,1,2025-01-07 15:41:54
Advanced Analytics for Pipedrive,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/pipedrive-24-1-2024,YES,YES,13,2025-01-07 15:42:05
CRM Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/crm-analytics,YES,YES,1,2025-01-07 15:42:21
Advanced Analytics for Zoho CRM,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/advanced-analytics-zoho-crm,YES,YES,50,2025-01-07 15:52:31
Advanced Analytics for Zoho SalesIQ,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/zoho-salesiq-analytics,YES,YES,29,2025-01-07 16:02:52
Advanced Analytics for Salesforce CRM,https://help.zoho.com/portal/en/kb/analytics/user-guide/business-apps-analytics/crm-analytics/articles/salesforce-crm,YES,YES,35,2025-01-07 16:03:12
